0	0	0
0.5	0	19000
2	-3	38000
2	-6.2	47500
3	-7	57000
2.7	-9.8	66500
2.8	-11.5	76000
2.5	-19.5	95000
3	0	0
3	-0.1	19000
3.1	-1.8	38000
5.2	-4	47500
3.5	-5.2	57000
5.5	-9.5	66500
2.5	-10.8	76000
2	-18.5	95000
8.8	0	0
9.5	-0.1	19000
9.6	-0.5	38000
8	-3	47500
9.3	-2	57000
7.5	-7	66500
8.8	-8.9	76000
7.5	-16	95000
12.5	0	0
12.4	-0.1	19000
12.2	-0.5	38000
12.5	-1	47500
12	-1.2	57000
11.2	-6	66500
10.8	-8.1	76000
10	-12.5	95000
18	0	0
17.5	-0.1	19000
17.2	-0.8	38000
18.5	-0.7	47500
17	-0.8	57000
17.8	-5	66500
16	-6.5	76000
14.5	-10.2	95000
20	0	0
20.3	-0.8	19000
20	-1.2	38000
21	0	47500
20	-1	57000
20.5	-3.5	66500
19.5	-6.5	76000
18.8	-11	95000
