0	0	0
0.5	0	0
2	-3	0
2	-6.2	0
3	-7	0
2.7	-9.8	0
2.8	-11.5	0
2.5	-19.5	0
3	0	13200
3	-0.1	13200
3.1	-1.8	13200
5.2	-4	13200
3.5	-5.2	13200
5.5	-9.5	13200
2.5	-10.8	13200
2	-18.5	13200
8.8	0	26400
9.5	-0.1	26400
9.6	-0.5	26400
8	-3	26400
9.3	-2	26400
7.5	-7	26400
8.8	-8.9	26400
7.5	-16	26400
12.5	0	39600
12.4	-0.1	39600
12.2	-0.5	39600
12.5	-1	39600
12	-1.2	39600
11.2	-6	39600
10.8	-8.1	39600
10	-12.5	39600
18	0	52800
17.5	-0.1	52800
17.2	-0.8	52800
18.5	-0.7	52800
17	-0.8	52800
17.8	-5	52800
16	-6.5	52800
14.5	-10.2	52800
20	0	66000
20.3	-0.8	66000
20	-1.2	66000
21	0	66000
20	-1	66000
20.5	-3.5	66000
19.5	-6.5	66000
18.8	-11	66000
