0	0	0
0.2	1	19000
0.2	3.5	38000
1	7.8	47500
1.2	9.9	57000
2.3	12	66500
3	16	76000
2.8	20	95000
3.8	0	0
3.8	0.1	19000
4	2.5	38000
5	7	47500
4.6	9.5	57000
6.8	10.8	66500
5.3	14	76000
5	19.5	95000
8.5	0	0
8.2	0.1	19000
9	0.9	38000
8.5	6	47500
9	8	57000
9	9.2	66500
9.4	10.6	76000
9.3	16	95000
11	0	0
10.9	0.2	19000
11.3	0.2	38000
12	3.8	47500
10.7	5.5	57000
11.8	8.7	66500
11	10.5	76000
11.3	15.5	95000
18	0	0
17.5	0.1	19000
17.4	0.4	38000
17.5	2.3	47500
17.6	4	57000
17	7	66500
17.6	9.5	76000
16	12.2	95000
20	0	0
20.5	0.4	19000
20	1.2	38000
19.8	1	47500
20	4.8	57000
19.2	6.8	66500
19.8	9.7	76000
19.5	12	95000
